1:38.47 1:47.05 1:56.04
1:47.28 1:54.29 1:54.87
2:01.03 2:07.73	2:11.45
0:21.99	0:23.40	0:24.83
0:52.67	0:58.05	0:59.56	
0:48.63	0:52.27	0:52.32	
5:20.17 5:57.70 6:16.26
1:33.42 1:36.49 1:45.48
0:56.37	0:58.15	1:03.14	
1:04.02	1:05.79	1:08.20	
3:26.14	3:48.72	4:03.31	

1:40.32	1:44.61 1:45.89	
1:50.53	1:55.38	2:03.96	
2:05.77	2:12.87	2:24.69	
0:22.64	0:23.68	0:24.49	
0:54.26	1:00.27	1:11.60	
0:50.13	0:55.62	1:06.21	
5:01.34	5:47.41 7:07.88	
1:38.18	1:53.12	NT
0:59.07	1:08.69	1:10.43	
1:02.39	1:01.97	1:17.29	
3:22.44 4:06.55 4:18.50	
